#Name,Date,Ra,Dec,RaDeg,DecDeg,AlertMag,HistoricMag,HistoricStdDev,Class,PubDate,Comment,TNSid,K_s,lDeg,bDeg,base_gmag,e_gmag,Catalog,Can,Stat
Gaia21bxx,2021-04-18 04:19:55,21:57:03.06,-04:49:33.06,329.26274,-4.82585,18.53,18.95,0.1,-,2021-04-19 15:13:35,~0.4 mag rise in Gaia source coincident with blue GALEX source,2021kec,15.432,53.23244,-42.89173,18.7264,0.0073,panstarr,-1.0,0.0
Gaia21bxv,2021-04-17 04:24:44,13:11:52.56,-63:11:15.00,197.96902,-63.1875,16.95,17.25,0.07,-,2021-04-19 09:52:28,~0.4 mag rise in Gaia source in the Galactic plane,2021kdu,12.915,305.23432,-0.40716,17.177,nan,refcat2,-1.0,0.0
Gaia21bxn,2021-04-16 19:15:19,01:06:42.79,61:59:41.93,16.6783,61.99498,12.35,12.78,0.06,-,2021-04-19 08:35:57,"bright gal.plane source rises by 0.4 mag, candidate microlensing event or Be-type outburst",2021kdo,11.143,124.7242,-0.8236,13.157,0.01,APASS,-1.0,0.0
Gaia21bxi,2021-04-16 12:52:09,10:39:55.59,-30:23:54.42,159.98162,-30.39845,17.54,18.25,0.15,-,2021-04-19 08:32:11,long term rise followed by ~0.5 mag brightening in Gaia source,2021kdk,15.249,271.97709,24.45343,18.3665,0.0188,panstarr,-1.0,0.0
Gaia21bxa,2021-04-16 01:12:30,09:56:19.75,-11:11:25.30,149.08228,-11.19036,18.93,19.66,0.15,-,2021-04-17 15:50:08,~0.8 mag rise in Gaia source coincident with blue GALEX source,2021jza,nan,249.07479,32.81262,19.4065,0.0265,panstarr,-1.0,0.0
Gaia21bwz,2021-04-15 05:47:46,09:04:10.44,09:50:10.03,136.04352,9.83612,18.9,19.95,0.21,-,2021-04-17 15:49:31,~0.8 mag rise in Gaia source,2021jyz,nan,219.42608,33.90744,19.5123,0.0447,panstarr,-1.0,0.0
Gaia21bwx,2021-04-14 21:44:13,22:18:49.54,27:08:38.62,334.70641,27.14406,17.8,17.98,0.05,-,2021-04-17 15:47:58,~0.2 mag rise in Gaia source coincident with radio source NVSS J221849+270838,2021jyy,15.45,85.7654,-24.50296,18.183,0.0164,panstarr,-1.0,0.0
Gaia21bwt,2021-04-15 12:04:29,14:04:21.44,-62:53:42.36,211.08932,-62.8951,13.2,13.48,0.03,-,2021-04-17 15:45:28,very bright  gal.plane source candidate microlensing event or Be-type outburst rises by 0.3 mag,2021jyu,11.576,311.12808,-1.18953,14.073,0.033,APASS,-1.0,0.0
Gaia21bwr,2021-03-20 23:49:49,15:32:45.60,-62:05:46.86,233.19,-62.09635,15.88,17.8,0.06,-,2021-04-16 14:20:32,gal.plane source candidate microlensing event rises by 1.9 mag,2021jvh,15.176,320.62939,-4.90247,17.766,nan,refcat2,-1.0,0.0
Gaia21bwf,2021-04-13 17:39:43,16:59:03.90,-56:39:32.11,254.76627,-56.65892,16.21,16.47,0.08,-,2021-04-16 09:04:45,gal.plane source candidate microlensing event rises by 0.3 mag,2021juv,13.76,332.30273,-8.66097,16.415,nan,refcat2,-1.0,0.0
